,dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa
63,729154,606,802,753,2142,1692,866,3022,2
64,729202,1102,1209,1148,2546,1571,934,2724,4
65,729266,1589,1777,1767,3949,3017,1804,3077,0
66,729282,341,575,475,2763,1556,706,3081,0
67,729314,246,454,305,3102,1352,517,3048,0
68,729378,300,404,294,2506,1275,532,3043,0
69,729426,274,464,370,2744,1345,541,2990,0
70,729458,2365,2278,2210,2549,1623,1096,2883,4
71,729474,16022,7642,16022,8053,16022,5843,1500,4
72,729490,360,590,522,2476,1624,751,3044,0
73,729506,751,687,541,569,460,392,3030,1
74,729522,2002,2236,2212,3266,3031,2467,2861,4
75,729538,325,570,443,2953,1471,572,3057,0
76,729570,725,1042,879,3110,1719,844,3028,0
77,729586,16022,7126,7148,7632,3315,2831,1500,4
78,729602,374,560,530,2924,1421,582,3061,0
79,729618,16022,16022,16022,16022,3064,2620,1500,4
80,729634,1724,1837,1741,2612,1582,1090,1500,4
81,729666,120,335,246,1762,793,379,3023,0
82,729714,231,398,319,2871,1332,566,3041,0
83,729746,243,437,383,2484,1376,568,3035,0
84,729762,221,305,236,1567,847,391,3029,2
85,729794,381,521,453,2648,1424,568,3016,0
86,729810,415,594,521,2538,1657,764,3028,0
87,729842,2903,3037,3076,4207,4013,3064,2816,4
88,729858,543,439,403,362,318,222,2998,1
89,729890,1315,1475,1450,2370,2260,1945,2553,4
90,729906,459,676,616,2917,1814,781,3065,0
91,729922,374,602,495,2974,1599,691,3026,0
92,729938,616,871,716,3132,1587,804,3007,0
93,729946,315,545,437,2741,1638,783,3056,0
94,729954,871,1074,968,2772,1659,910,2980,4
95,729970,318,560,433,3116,1554,693,3069,0
96,729986,1465,1578,1471,2221,1514,1207,2769,4
97,730002,255,489,345,2755,1356,552,3106,0
98,730018,375,629,480,3369,1531,632,3021,0
99,730050,192,219,146,671,238,90,3063,2
100,730082,302,372,105,130,92,60,2998,2
101,730098,236,432,338,2566,1348,600,3011,0
102,730114,883,1083,1060,3176,2118,1367,2997,0
103,730122,225,350,297,2349,1324,559,3029,0
104,730170,339,494,464,2211,1597,752,3034,0
105,730234,1265,1317,1275,2010,1312,1016,2958,4
106,730242,570,813,699,3126,1771,842,3035,0
107,730274,468,784,677,2955,1796,855,3027,0
108,730306,1224,1426,1348,3177,1810,924,2800,4
109,730314,16022,3842,16022,5007,5161,4143,2968,4
110,730322,472,744,705,2539,1560,660,3063,0
111,730338,471,771,694,2649,1499,761,2932,0
112,730346,513,612,549,1731,1192,716,2989,2
113,730354,1100,1160,1166,2134,1408,949,2266,4
114,730362,1430,1633,1660,3471,2682,1707,3001,4
115,730370,376,556,522,2640,1517,653,3107,0
116,730378,323,448,388,2785,1502,608,3088,0
117,730386,314,558,396,3026,1398,522,3058,0
118,730402,281,322,219,1441,462,198,2961,2
119,730410,2796,2698,2658,3145,1986,1261,2952,4
120,730418,236,491,365,3017,1227,482,2963,0
121,730442,636,867,713,3879,1967,1084,2945,2
122,730506,210,277,153,2023,713,250,2974,0
123,730514,211,395,313,2547,1374,540,3016,0
124,730522,262,437,305,2529,1385,526,3027,0
125,730530,306,449,433,2543,1400,627,2999,0
126,730570,444,614,551,2402,1844,857,3083,0
127,730602,475,638,686,2244,1955,986,3063,0
128,730650,1122,1377,1307,3375,2614,1573,3034,0
129,730746,369,637,498,2921,1628,735,3067,0
130,730762,290,511,381,2802,1433,556,3070,0
131,730826,208,334,222,2709,1300,521,3038,0
132,730890,2892,2917,2864,3567,2472,1784,2863,4
133,730922,16022,16022,16022,6814,5769,4612,2827,4
134,731018,275,458,350,2935,1466,624,3049,0
135,731034,370,622,471,3477,1645,635,3064,2
136,731050,192,268,261,1348,661,276,3065,2
137,731066,337,509,469,2852,1628,709,3077,0
138,731130,211,418,262,2942,1317,457,3072,0
139,731178,482,683,542,2926,1563,767,3033,0
140,731226,211,302,242,1512,676,261,3049,0
141,731290,626,809,797,2519,2017,1177,3029,0
142,731338,365,638,475,2959,1524,702,3048,0
143,731434,525,799,681,3388,1960,921,3040,0
144,731530,206,360,267,2154,923,378,3051,0
145,731594,1396,1532,1503,3132,2210,1680,2968,4
146,731610,3042,3136,3242,4070,3619,3044,2817,4
147,731626,-2000,-2000,-2000,-2000,-2000,-2000,1490,255
148,731674,426,620,645,2402,1883,991,3072,0
149,731706,342,546,449,2736,1702,779,3085,0
150,731754,-2000,-2000,-2000,-2000,-2000,-2000,1490,255
151,731786,327,551,425,2918,1534,614,3062,0
152,731802,1027,1251,1141,3154,2129,1551,3035,0
153,731818,221,504,347,3107,1474,607,3064,0
154,731850,1136,1292,1269,3439,2192,1353,3002,2
155,731866,239,385,265,2716,1320,520,3093,0
156,731898,213,333,255,2658,1303,505,3036,0
157,731914,192,377,265,2649,1298,507,3029,0
158,731930,288,453,303,2517,1450,629,3062,0
159,731946,346,482,396,2434,1504,668,3009,0
160,731962,334,504,459,2228,1593,761,3030,0
161,731978,1063,1279,1225,2958,2427,1765,2938,4
162,732010,601,765,736,2330,1971,968,3057,0
163,732026,457,636,658,2219,1858,908,3044,0
164,732042,548,713,770,2076,1846,1045,2958,0
165,732090,16022,16022,16022,4412,2497,1690,2532,4
166,732154,359,600,451,3184,1563,614,3037,0
167,732170,206,434,285,3014,1457,539,3072,0
168,732202,443,634,520,2981,1557,695,2972,0
169,732218,1222,1273,1179,2657,1488,911,2459,4
170,732250,187,373,280,2757,1359,518,3075,0
171,732266,16022,16022,16022,6189,4753,3461,2578,4
172,732282,-2000,-2000,-2000,-2000,-2000,-2000,1490,255
173,732298,199,368,250,2611,1384,532,3039,0
174,732314,216,332,242,1999,1029,418,3032,0
175,732330,304,485,335,2362,1424,674,3028,0
176,732362,351,460,432,2176,1627,784,3042,0
177,732378,921,965,895,1700,1158,739,2950,2
178,732394,438,651,638,2244,1868,953,3039,0
179,732410,583,717,761,2502,2010,1049,3016,0
180,732442,450,651,699,2217,1982,1013,3112,0
181,732490,16022,16022,16022,5823,4381,3287,2757,4
182,732586,293,506,360,3193,1616,578,3058,0
183,732618,199,398,243,2792,1297,495,3042,0
184,732634,207,380,234,2890,1377,441,3045,0
185,732698,297,471,408,2388,1491,695,3027,0
186,732714,332,491,458,2317,1534,720,3055,0
187,732730,1633,1806,1857,2941,2485,1789,2977,4
188,732746,445,581,589,1951,1325,644,3050,0
189,732778,-2000,-2000,-2000,-2000,-2000,-2000,1490,255
190,732794,292,364,333,1138,723,310,3031,2
191,732930,2087,2167,1974,3035,1689,1148,2019,4
192,732938,267,491,350,3313,1561,569,3072,0
193,732946,16022,16022,16022,16022,3295,2899,1500,4
194,732970,233,348,282,2803,1309,446,3069,0
195,732986,-2000,-2000,-2000,-2000,-2000,-2000,1490,255
196,733002,221,341,259,2651,1340,520,3033,0
197,733018,213,361,290,2528,1374,544,3071,0
198,733034,273,399,302,2587,1399,565,3031,0
199,733050,987,1034,1110,1607,1674,1522,2964,0
200,733066,302,434,356,2372,1536,661,3052,0
201,733082,416,565,506,2501,1746,773,3040,0
202,733098,327,518,492,2286,1710,827,3033,0
203,733114,377,539,515,2375,1562,751,2998,0
204,733130,467,630,666,2307,1968,1029,3073,0
205,733146,389,606,578,2365,1841,946,3061,0
206,733178,505,722,720,2453,2087,1020,3070,0
207,733274,278,504,365,2800,1517,653,3061,0
208,733290,215,441,289,2878,1324,566,3052,0
209,733306,200,435,264,3245,1429,594,3070,0
210,733338,189,365,240,2895,1303,530,3057,0
211,733370,2028,2019,1891,3298,1839,1314,2341,4
212,733402,272,399,320,2426,1429,632,3037,0
213,733418,265,471,383,2352,1526,679,3020,0
214,733434,258,419,344,2244,1447,599,3032,0
215,733450,298,405,400,2245,1495,698,3012,0
216,733466,2138,2138,2098,2629,1591,1284,2166,4
217,733514,434,614,627,2403,1949,1014,3070,0
218,733578,229,403,297,3428,1491,559,3043,0
219,733626,828,1038,949,3996,2198,1093,3070,0
220,733642,324,547,413,2961,1563,653,3096,0
221,733658,388,612,590,3135,1754,778,3080,0
222,733674,1653,1595,1551,2988,1496,951,2460,4
223,733690,277,444,326,2750,1517,588,3085,0
224,733706,240,409,306,2795,1385,506,3062,0
225,733722,16022,16022,16022,7130,16022,5652,2942,4
226,733754,16022,16022,16022,5726,3393,1784,2831,4
227,733770,231,307,180,2719,1300,514,3030,0
228,733786,247,301,282,2600,1271,505,3014,0
229,733794,578,588,505,1679,909,578,2998,2
230,733802,206,377,275,2631,1382,505,3020,0
231,733818,3055,3004,3091,4190,3340,2414,2951,4
232,733826,394,567,462,2468,1595,682,3063,0
233,733834,519,605,616,2319,1534,832,2936,4
234,733866,370,505,476,2312,1721,778,3047,0
235,733898,463,604,660,2307,2015,1073,3100,0
236,733930,16022,3523,3505,3305,849,365,2711,4
237,733978,2155,2210,2264,4247,3269,2549,2994,4
238,734010,161,357,255,3104,1392,531,3074,0
239,734026,186,364,242,3056,1401,488,3088,0
240,734058,186,349,242,2796,1364,493,3029,0
241,734074,214,344,243,2741,1336,559,3051,0
242,734090,243,324,286,2523,1227,604,2942,0
243,734146,1247,1357,1240,2813,1765,947,2665,4
244,734154,159,130,45,629,372,104,3012,2
245,734170,361,444,421,2012,1467,666,3021,2
246,734178,263,493,432,2313,1472,622,2988,0
247,734186,2899,2888,2920,3940,3959,3175,2971,4
248,734194,313,523,461,2176,1498,725,3025,0
249,734202,310,446,424,2235,1531,759,3026,0
250,734218,301,502,412,2473,1576,724,3037,0
251,734242,589,858,768,2674,1934,1053,3048,0
252,734250,427,663,567,2605,1698,871,3011,0
253,734266,769,962,839,2815,1540,860,2668,4
254,734362,264,504,353,3031,1377,581,3063,0
255,734394,209,460,333,2975,1430,539,3085,0
256,734410,859,950,897,2874,1520,817,2684,4
257,734426,223,409,290,2683,1286,537,3031,0
258,734442,243,463,347,2789,1337,545,2978,0
259,734458,1335,1561,1579,3611,2642,2045,2993,4
260,734506,235,410,333,2294,1335,596,3047,0
261,734522,283,424,328,2431,1409,513,2994,0
262,734538,250,355,279,1628,926,442,2996,0
263,734554,1250,1409,1404,2126,2274,1487,2999,4
264,734570,352,547,497,2172,1631,752,3061,0
265,734586,428,604,622,2260,1717,860,3053,0
266,734602,522,658,660,2321,1898,979,3081,0
267,734634,-2000,-2000,-2000,-2000,-2000,-2000,1490,255
268,734666,520,704,565,3265,1589,692,3076,0
269,734682,385,672,517,3209,1485,644,3044,0
270,734698,302,575,431,3307,1510,533,3064,0
271,734714,294,608,495,2967,1529,672,3077,0
272,734746,232,460,361,2978,1398,568,3061,0
273,734762,16022,16022,16022,6315,16022,4970,2979,4
274,734778,265,462,323,3096,1500,571,3065,0
275,734794,405,625,480,2780,1447,725,2932,0
276,734810,220,364,236,2794,1357,517,3057,0
277,734826,98,179,167,1374,695,238,3003,0
278,734842,239,402,310,2604,1303,540,3033,0
279,734858,16022,4702,4792,5485,4387,3248,2772,4
280,734874,300,456,375,2557,1457,706,3048,0
281,734906,355,526,487,2337,1653,784,3056,0
282,734922,329,408,351,1300,820,401,3039,2
283,734938,501,645,664,2310,1873,938,3048,0
284,734954,2722,2988,3288,4314,4126,3122,2962,4
285,734970,338,432,474,1239,916,510,3036,2
286,734986,477,692,752,2227,1962,1006,3048,0
287,735002,428,663,618,2497,1852,950,3088,0
288,735058,550,1165,1030,3138,2404,1485,3012,0
289,735066,539,772,641,3432,1715,768,3034,0
290,735074,203,511,357,3242,1472,617,3072,0
291,735090,195,501,346,3279,1535,608,3037,0
292,735098,248,506,369,2987,1499,600,3056,0
293,735114,271,507,352,2859,1404,573,3076,0
294,735130,415,620,414,3535,1549,611,3037,0
295,735138,213,487,336,3158,1607,669,3117,0
296,735146,1248,1416,1285,3300,2248,1510,2920,2
297,735154,293,633,429,2679,1400,914,2843,0
298,735162,221,380,257,2831,1324,495,3056,0
299,735170,306,698,556,2990,1409,729,2808,0
300,735178,1820,2034,2012,4335,3049,2349,2994,0
301,735186,162,393,246,2877,1265,503,3041,0
302,735202,173,398,269,2995,1355,539,3052,0
303,735218,281,459,382,2154,1115,788,2865,4
304,735234,187,412,294,2778,1361,575,3031,0
305,735250,196,442,317,3031,1476,611,3017,0
306,735266,198,415,315,2690,1427,624,3047,0
307,735282,210,444,344,2603,1539,699,3046,0
308,735298,-112,126,23,939,603,319,2977,2
309,735314,272,558,500,2620,1806,890,3064,0
310,735330,-392,680,660,3230,2438,1453,3038,4
311,735362,318,570,582,2449,2011,1042,3112,0
312,735378,285,597,538,2632,1888,944,3065,0
313,735394,332,686,621,2791,1965,987,3075,0
314,735410,443,943,905,2527,1853,1018,2950,0
315,735442,2595,2759,2805,3568,1902,1211,2944,4
316,735458,4675,4800,4878,5361,3854,2660,2970,4
317,735474,11186,10448,10403,9689,2331,2965,1500,4
318,735490,256,551,366,3372,1579,723,3041,0
319,735506,190,469,277,3375,1487,587,3061,0
320,735522,191,455,277,3143,1474,575,3080,0
321,735538,207,486,310,3031,1412,613,2979,0
322,735554,166,413,246,3010,1335,526,3045,0
323,735586,170,372,232,2943,1306,515,3036,0
324,735602,190,431,290,2787,1410,592,3031,0
325,735618,279,604,523,2594,1455,747,2872,0
326,735634,261,529,440,2943,1765,780,3014,0
327,735650,215,456,351,2539,1540,711,3049,0
328,735666,2272,2444,2541,3987,3113,2186,2808,4
329,735682,882,1313,1366,3364,2814,1866,3048,0
330,735698,672,982,1044,3107,2589,1446,3033,4
331,735714,847,1270,1371,3116,2916,1883,3064,4
332,735730,3910,3727,3654,3892,1329,1424,1500,4
333,735746,2173,2794,2934,4158,4116,3019,2991,4
334,735762,383,704,796,2288,1995,1089,2988,0
335,735778,470,877,975,2429,2174,1221,3061,0
336,735794,400,717,854,2532,2304,1178,3059,0
337,735810,390,694,840,2421,2280,1230,3091,0
338,735826,397,695,862,2521,2421,1242,3107,0
339,735842,425,740,887,2584,2341,1270,3079,0
340,735858,482,866,787,3015,1752,984,2863,2
341,735874,129,454,262,2050,1145,644,2918,2
342,735890,213,468,351,2979,1653,659,3098,0
343,735906,5998,5606,5530,5654,4259,3477,1705,4
344,735938,727,1135,1130,3581,2369,1385,3021,0
345,735954,2737,2374,2230,2438,704,477,2611,4
346,735970,190,423,296,3102,1558,675,3023,4
347,735986,185,480,364,3091,1618,749,3018,0
348,736002,283,599,546,3152,1933,970,3028,0
349,736010,280,271,278,1346,739,361,3031,2
350,736018,230,504,394,3090,1834,824,3030,0
351,736026,3431,3553,3805,5005,4861,3984,2979,4
352,736034,274,491,436,2485,1785,915,3053,0
353,736050,516,1374,1408,2658,2452,1974,2909,4
354,736066,301,595,548,2862,2106,1090,3057,0
355,736082,518,990,1125,3075,2515,2192,2841,4
356,736098,260,617,423,3707,1887,839,3062,0
357,736114,173,710,481,3729,1948,951,3074,4
358,736130,266,605,505,2937,1732,811,3073,0
359,736146,1502,1760,1835,3503,2724,2074,3025,0
360,736162,314,689,618,3088,1919,939,3084,0
361,736178,6406,6229,6309,6464,4834,3437,2898,4
